date,NDVI,region
2022-01-01,0.0785,Kunene
2022-01-17,0.0689,Kunene
2022-02-02,0.088,Kunene
2022-02-18,0.1641,Kunene
2022-03-06,0.1645,Kunene
2022-03-22,0.2717,Kunene
2022-04-07,0.1729,Kunene
2022-04-23,0.1634,Kunene
2022-05-09,0.1445,Kunene
2022-05-25,0.1187,Kunene
2022-06-10,0.128,Kunene
2022-06-26,0.1212,Kunene
2022-07-12,0.115,Kunene
2022-07-28,0.1255,Kunene
2022-08-13,0.1105,Kunene
2022-08-29,0.1201,Kunene
2022-09-14,0.1232,Kunene
2022-09-30,0.1073,Kunene
2022-10-16,0.1039,Kunene
2022-11-01,0.1067,Kunene
2022-11-17,0.1062,Kunene
2022-12-03,0.1092,Kunene
2022-12-19,0.101,Kunene
2023-01-01,0.1064,Kunene
2023-01-17,0.0982,Kunene
2023-02-02,0.0956,Kunene
2022-01-01,0.1449,Oshana
2022-01-17,0.1944,Oshana
2022-02-02,0.2808,Oshana
2022-02-18,0.2943,Oshana
2022-03-06,0.2601,Oshana
2022-03-22,0.3531,Oshana
2022-04-07,0.2929,Oshana
2022-04-23,0.2114,Oshana
2022-05-09,0.2098,Oshana
2022-05-25,0.1879,Oshana
2022-06-10,0.2189,Oshana
2022-06-26,0.1846,Oshana
2022-07-12,0.1731,Oshana
2022-07-28,0.1711,Oshana
2022-08-13,0.1826,Oshana
2022-08-29,0.1559,Oshana
2022-09-14,0.1712,Oshana
2022-09-30,0.1492,Oshana
2022-10-16,0.1912,Oshana
2022-11-01,0.1507,Oshana
2022-11-17,0.1689,Oshana
2022-12-03,0.1374,Oshana
2022-12-19,0.1742,Oshana
2023-01-01,0.1785,Oshana
2023-01-17,0.2749,Oshana
2023-02-02,0.283,Oshana
2022-01-01,0.5362,Kavango West
2022-01-17,0.6374,Kavango West
2022-02-02,0.6652,Kavango West
2022-02-18,0.6449,Kavango West
2022-03-06,0.7265,Kavango West
2022-03-22,0.6425,Kavango West
2022-04-07,0.661,Kavango West
2022-04-23,0.5051,Kavango West
2022-05-09,0.4558,Kavango West
2022-05-25,0.3994,Kavango West
2022-06-10,0.3701,Kavango West
2022-06-26,0.3423,Kavango West
2022-07-12,0.3285,Kavango West
2022-07-28,0.3137,Kavango West
2022-08-13,0.3053,Kavango West
2022-08-29,0.2919,Kavango West
2022-09-14,0.3015,Kavango West
2022-09-30,0.2999,Kavango West
2022-10-16,0.3144,Kavango West
2022-11-01,0.3638,Kavango West
2022-11-17,0.3868,Kavango West
2022-12-03,0.3352,Kavango West
2022-12-19,0.4398,Kavango West
2023-01-01,0.5507,Kavango West
2023-01-17,0.6525,Kavango West
2023-02-02,0.6957,Kavango West
2022-01-01,0.7068,Zambezi
2022-01-17,0.8231,Zambezi
2022-02-02,0.8227,Zambezi
2022-02-18,0.7992,Zambezi
2022-03-06,0.7336,Zambezi
2022-03-22,0.8031,Zambezi
2022-04-07,0.7549,Zambezi
2022-04-23,0.7433,Zambezi
2022-05-09,0.7278,Zambezi
2022-05-25,0.7042,Zambezi
2022-06-10,0.6129,Zambezi
2022-06-26,0.6064,Zambezi
2022-07-12,0.5837,Zambezi
2022-07-28,0.5001,Zambezi
2022-08-13,0.4114,Zambezi
2022-08-29,0.3958,Zambezi
2022-09-14,0.3525,Zambezi
2022-09-30,0.3535,Zambezi
2022-10-16,0.3586,Zambezi
2022-11-01,0.403,Zambezi
2022-11-17,0.6192,Zambezi
2022-12-03,0.7101,Zambezi
2022-12-19,0.7832,Zambezi
2023-01-01,0.7424,Zambezi
2023-01-17,0.8023,Zambezi
2023-02-02,0.8261,Zambezi
2022-01-01,0.4829,Omaheke
2022-01-17,0.4924,Omaheke
2022-02-02,0.5321,Omaheke
2022-02-18,0.5415,Omaheke
2022-03-06,0.5838,Omaheke
2022-03-22,0.4908,Omaheke
2022-04-07,0.4781,Omaheke
2022-04-23,0.4338,Omaheke
2022-05-09,0.3493,Omaheke
2022-05-25,0.3472,Omaheke
2022-06-10,0.317,Omaheke
2022-06-26,0.2822,Omaheke
2022-07-12,0.2666,Omaheke
2022-07-28,0.2399,Omaheke
2022-08-13,0.2424,Omaheke
2022-08-29,0.2441,Omaheke
2022-09-14,0.2351,Omaheke
2022-09-30,0.2461,Omaheke
2022-10-16,0.3012,Omaheke
2022-11-01,0.394,Omaheke
2022-11-17,0.3929,Omaheke
2022-12-03,0.4556,Omaheke
2022-12-19,0.5063,Omaheke
2023-01-01,0.4198,Omaheke
2023-01-17,0.469,Omaheke
2023-02-02,0.5002,Omaheke
2022-01-01,0.168,Hardap
2022-01-17,0.2385,Hardap
2022-02-02,0.3222,Hardap
2022-02-18,0.344,Hardap
2022-03-06,0.3628,Hardap
2022-03-22,0.3464,Hardap
2022-04-07,0.29,Hardap
2022-04-23,0.2618,Hardap
2022-05-09,0.2462,Hardap
2022-05-25,0.2188,Hardap
2022-06-10,0.2211,Hardap
2022-06-26,0.1968,Hardap
2022-07-12,0.1847,Hardap
2022-07-28,0.1931,Hardap
2022-08-13,0.1814,Hardap
2022-08-29,0.1652,Hardap
2022-09-14,0.167,Hardap
2022-09-30,0.1735,Hardap
2022-10-16,0.1624,Hardap
2022-11-01,0.1701,Hardap
2022-11-17,0.1605,Hardap
2022-12-03,0.1639,Hardap
2022-12-19,0.1727,Hardap
2023-01-01,0.1727,Hardap
2023-01-17,0.1718,Hardap
2023-02-02,0.1779,Hardap
2022-01-01,0.0706,Erongo
2022-01-17,0.0786,Erongo
2022-02-02,0.0739,Erongo
2022-02-18,0.0871,Erongo
2022-03-06,0.0862,Erongo
2022-03-22,0.0895,Erongo
2022-04-07,0.0926,Erongo
2022-04-23,0.0853,Erongo
2022-05-09,0.0824,Erongo
2022-05-25,0.0786,Erongo
2022-06-10,0.0824,Erongo
2022-06-26,0.0827,Erongo
2022-07-12,0.0919,Erongo
2022-07-28,0.0871,Erongo
2022-08-13,0.0958,Erongo
2022-08-29,0.0897,Erongo
2022-09-14,0.1005,Erongo
2022-09-30,0.0856,Erongo
2022-10-16,0.0862,Erongo
2022-11-01,0.0817,Erongo
2022-11-17,0.081,Erongo
2022-12-03,0.0827,Erongo
2022-12-19,0.0802,Erongo
2023-01-01,0.0788,Erongo
2023-01-17,0.0761,Erongo
2023-02-02,0.0762,Erongo
